scenario_id,split,regime,wind_uncertainty_pct,current_uncertainty_pct,horizon_days,lane_offset_nm,ship_length_m,ship_beam_m,ship_pos_pct,start_x,start_y,n_runs,incursion_probability,risk_level,mean_drift_speed_kmday,mean_drift_bearing_deg,confidence_radius_km,closest_lane_km,closest_vessel_km
sc_00000,train,storm,95.73,99.54,11,48.56,220.3,21.4,0.218,64.62,460.36,50,1.0,high,25.3,29.7,135.28,3.86,353.29
sc_00001,train,moderate,5.33,50.2,6,-34.15,78.6,16.6,0.319,74.77,457.21,50,0.0,low,15.95,28.1,24.55,55.61,325.77
sc_00002,train,moderate,84.71,9.25,14,98.82,68.0,19.1,0.605,59.89,360.92,50,1.0,high,15.95,56.3,50.41,7.18,196.35
sc_00003,test,storm,84.88,85.19,5,-127.54,222.1,24.5,0.97,62.59,383.41,50,0.0,low,25.3,64.6,47.62,134.11,139.28
sc_00004,train,moderate,77.42,39.81,5,106.5,280.7,54.9,0.447,224.83,374.27,50,1.0,high,15.95,20.9,27.05,5.81,168.24
sc_00005,train,calm,25.62,30.03,12,-30.06,371.3,54.1,0.724,248.23,375.94,50,1.0,high,8.8,41.5,13.76,14.71,37.27
sc_00006,train,moderate,93.11,76.85,10,128.34,104.6,51.0,0.546,176.85,447.09,50,0.18,moderate,15.95,25.7,55.97,13.83,178.62
sc_00007,train,moderate,72.16,31.37,8,-147.63,147.9,41.7,0.92,225.07,416.93,50,0.0,low,15.95,20.3,35.48,95.7,130.73
sc_00008,train,storm,17.15,95.9,12,-52.69,270.8,33.3,0.925,242.85,369.94,50,1.0,high,25.3,36.5,96.15,3.9,84.26
sc_00009,train,storm,48.83,36.35,7,-29.72,350.0,65.0,0.129,141.68,476.73,50,1.0,high,25.3,83.1,54.74,0.16,446.56
sc_00010,train,moderate,39.07,92.6,7,-28.63,393.9,59.2,0.842,186.68,473.25,50,1.0,high,15.95,48.9,37.38,1.45,52.71
sc_00011,val,calm,22.23,40.63,7,-5.0,367.7,42.0,0.245,54.3,424.56,50,0.0,low,8.8,15.6,13.69,90.99,371.52
sc_00012,test,storm,15.83,63.39,10,63.92,285.6,19.3,0.805,82.14,441.12,50,1.0,high,25.3,77.5,83.45,2.02,128.28
sc_00013,test,storm,39.82,53.63,7,106.65,141.5,55.7,0.395,271.4,380.32,50,0.54,high,25.3,31.2,52.63,1.47,196.39
sc_00014,train,moderate,14.76,67.27,10,52.71,192.7,67.7,0.086,113.3,370.65,50,1.0,high,15.95,63.5,42.32,6.54,442.02
sc_00015,test,storm,59.95,10.01,4,-121.45,142.5,30.0,0.888,95.65,381.85,50,0.0,low,25.3,74.0,31.86,142.04,161.97
sc_00016,test,calm,86.53,25.28,11,-112.72,244.5,41.8,0.005,206.39,388.8,50,0.0,low,8.8,43.4,19.08,95.66,431.18
sc_00017,val,moderate,53.96,38.74,5,-86.4,59.5,28.6,0.888,244.63,353.85,50,0.0,low,15.95,67.4,20.23,95.9,96.49
sc_00018,val,moderate,99.34,0.61,11,-145.5,216.1,41.0,0.396,227.74,498.75,50,0.58,high,15.95,15.7,43.89,21.48,169.45
sc_00019,train,storm,79.18,76.92,6,78.92,235.2,47.7,0.087,298.36,486.26,50,0.0,low,25.3,37.9,61.2,32.84,384.52
sc_00020,val,calm,39.73,63.47,6,-102.01,357.2,54.5,0.414,117.0,417.85,50,0.0,low,8.8,21.9,12.11,151.16,298.64
sc_00021,train,calm,52.31,39.12,11,-118.56,113.8,20.2,0.03,182.04,401.26,50,0.0,low,8.8,18.1,20.89,117.16,403.66
sc_00022,test,calm,83.55,95.54,3,-87.8,349.8,20.8,0.03,95.05,411.98,50,0.0,low,8.8,49.7,10.03,168.62,509.72
sc_00023,train,storm,17.76,16.03,10,-121.91,382.4,23.3,0.852,223.71,412.98,50,0.98,high,25.3,27.3,67.05,5.48,69.53
sc_00024,train,calm,25.14,99.16,4,-23.02,116.1,46.6,0.175,119.73,370.75,50,0.0,low,8.8,49.7,10.88,121.53,401.54
sc_00025,val,moderate,36.96,98.76,14,38.16,108.7,46.7,0.21,115.89,426.76,50,1.0,high,15.95,32.7,55.53,4.06,341.6
sc_00026,train,calm,47.73,45.81,8,1.71,119.0,40.9,0.012,280.54,427.45,50,1.0,high,8.8,11.1,14.97,5.8,369.5
sc_00027,train,storm,72.36,24.01,9,12.51,83.7,12.4,0.244,187.37,369.82,50,1.0,high,25.3,36.4,60.15,9.98,277.61
sc_00028,train,calm,84.04,73.55,4,-97.98,230.3,19.3,0.905,123.8,498.52,50,0.0,low,8.8,9.7,10.7,129.93,135.28
sc_00029,train,storm,61.28,64.86,14,-86.93,342.4,23.4,0.766,184.26,448.59,50,1.0,high,25.3,32.1,111.59,10.97,33.38
sc_00030,train,moderate,24.14,68.54,3,-125.64,398.8,46.2,0.644,123.83,468.02,50,0.0,low,15.95,17.9,13.88,153.5,216.23
sc_00031,train,moderate,71.98,26.94,4,-127.95,217.8,23.0,0.392,280.6,351.78,50,0.0,low,15.95,50.6,18.13,130.87,235.37
sc_00032,train,calm,84.27,32.49,10,70.48,86.2,15.1,0.869,276.59,431.15,50,1.0,high,8.8,6.2,21.4,0.25,11.74
sc_00033,train,calm,25.81,23.54,7,-18.31,231.6,34.8,0.899,118.37,414.61,50,0.0,low,8.8,20.8,10.13,81.79,82.12
sc_00034,train,storm,22.16,21.67,5,103.53,195.6,52.9,0.401,75.1,383.51,50,1.0,high,25.3,44.8,36.78,6.04,285.56
sc_00035,train,storm,96.66,3.25,7,12.92,396.0,15.7,0.202,213.36,389.69,50,1.0,high,25.3,85.9,58.37,6.85,348.33
sc_00036,train,moderate,30.7,84.82,7,-11.07,245.6,56.0,0.765,240.41,439.89,50,1.0,high,15.95,34.0,33.71,3.6,33.79
sc_00037,train,storm,17.83,8.56,12,108.84,275.1,16.2,0.283,192.61,486.57,50,0.0,low,25.3,42.2,67.83,21.42,335.78
sc_00038,train,storm,13.97,43.58,8,114.14,374.3,14.2,0.364,121.88,443.48,50,1.0,high,25.3,57.2,50.9,7.35,314.8
sc_00039,train,storm,26.78,56.4,10,85.15,176.3,40.1,0.175,164.64,375.71,50,1.0,high,25.3,62.5,95.14,6.11,371.81
sc_00040,test,calm,75.57,60.12,14,-145.68,152.8,49.7,0.283,256.42,397.03,50,0.0,low,8.8,18.9,25.28,94.33,232.26
sc_00041,val,moderate,32.27,20.68,4,-147.28,298.1,45.4,0.599,114.19,420.55,50,0.0,low,15.95,36.6,16.25,171.31,245.5
sc_00042,train,moderate,35.57,44.86,5,-46.31,185.0,10.9,0.621,217.68,460.68,50,0.24,moderate,15.95,33.5,23.09,27.45,124.82
sc_00043,val,calm,48.24,63.25,13,130.72,222.4,40.8,0.326,213.32,443.56,50,0.0,low,8.8,35.0,27.12,26.03,285.65
sc_00044,test,moderate,85.27,87.98,14,5.47,224.5,39.9,0.793,125.03,433.71,50,1.0,high,15.95,55.3,71.2,1.37,100.53
sc_00045,train,calm,51.94,18.72,14,-45.81,204.2,20.8,0.189,233.14,417.77,50,1.0,high,8.8,38.0,23.31,1.04,310.65
sc_00046,train,moderate,10.86,62.42,14,-45.37,257.2,23.1,0.44,132.05,468.6,50,1.0,high,15.95,21.9,45.35,4.62,177.9
sc_00047,test,calm,73.9,56.84,7,-4.84,136.9,34.8,0.267,260.34,476.36,50,0.98,high,8.8,11.5,16.85,5.25,271.52
sc_00048,train,storm,65.51,38.51,14,112.14,107.5,29.5,0.273,110.0,431.03,50,1.0,high,25.3,80.3,102.53,6.74,362.14
sc_00049,test,calm,87.7,45.31,8,-52.14,50.4,15.9,0.103,78.05,455.9,50,0.0,low,8.8,24.5,17.69,93.95,445.64
sc_00050,train,storm,0.19,26.29,9,-52.33,355.5,28.1,0.305,223.44,404.47,50,1.0,high,25.3,44.6,52.59,4.26,265.47
sc_00051,train,moderate,21.29,42.45,7,-90.27,322.6,61.3,0.43,241.81,350.03,50,0.0,low,15.95,44.0,23.69,71.2,191.08
sc_00052,test,moderate,80.65,53.83,9,138.55,284.7,23.7,0.602,68.81,499.38,50,0.36,moderate,15.95,67.0,50.74,9.47,237.44
sc_00053,val,storm,77.25,46.09,12,-25.69,245.0,47.8,0.99,240.83,432.2,50,1.0,high,25.3,62.6,96.37,4.99,35.44
sc_00054,train,storm,35.4,21.02,11,-66.33,163.6,60.4,0.715,217.3,374.78,50,1.0,high,25.3,39.8,72.85,11.46,35.54
sc_00055,train,storm,86.04,80.95,14,96.54,291.5,63.8,0.673,280.78,439.24,50,0.0,low,25.3,79.8,142.02,19.86,90.4
sc_00056,val,storm,74.51,20.78,5,-94.21,69.8,22.8,0.624,107.72,451.11,50,0.0,low,25.3,35.7,40.66,61.4,171.46
sc_00057,test,moderate,14.43,4.04,3,7.88,242.9,28.8,0.175,219.43,399.67,50,0.0,low,15.95,34.0,10.08,41.76,336.27
sc_00058,val,calm,29.56,33.3,6,76.11,148.5,49.0,0.779,257.66,467.16,50,1.0,high,8.8,41.1,8.24,8.91,55.55
sc_00059,val,calm,66.95,86.51,7,-106.7,66.1,24.0,0.39,76.6,487.55,50,0.0,low,8.8,37.8,19.76,126.54,341.99
sc_00060,train,moderate,16.75,20.97,8,20.36,384.3,67.1,0.679,220.05,481.79,50,1.0,high,15.95,9.5,23.91,4.3,61.94
sc_00061,train,storm,53.56,19.53,11,-22.89,153.5,28.2,0.226,189.36,450.18,50,1.0,high,25.3,79.0,66.87,9.85,368.38
sc_00062,val,moderate,49.45,76.22,3,98.17,270.3,51.9,0.087,175.32,358.0,50,1.0,high,15.95,61.2,18.77,3.27,403.62
sc_00063,test,storm,94.19,17.41,11,78.08,333.0,42.2,0.677,97.27,380.45,50,1.0,high,25.3,32.9,100.46,8.66,108.08
sc_00064,train,moderate,13.43,58.76,12,93.76,377.7,41.3,0.973,76.03,495.26,50,1.0,high,15.95,16.7,40.11,0.13,23.36
sc_00065,train,moderate,30.99,39.75,6,-35.15,169.1,33.5,0.448,71.06,413.36,50,0.0,low,15.95,57.4,24.77,69.15,299.95
sc_00066,train,storm,74.65,46.46,13,42.0,181.1,28.3,0.851,282.32,426.36,50,1.0,high,25.3,44.9,104.2,3.79,9.83
sc_00067,train,storm,63.5,12.81,3,-125.09,379.9,23.7,0.819,299.6,477.5,50,0.0,low,25.3,63.8,27.48,54.95,64.38
sc_00068,val,storm,49.25,6.18,8,92.94,338.9,18.1,0.795,163.64,432.59,50,1.0,high,25.3,79.2,58.35,1.84,80.55
